HostCode,TargetCode,Amount
AFG,ALB,27840.00
AFG,DZA,96048.00
AFG,ASM,1920.00
AFG,AGO,30912.00
AFG,ATG,1920.00
AFG,ARG,24000.00
AFG,ARM,32640.00
AFG,AUS,100800.00
AFG,AUT,81600.00
AFG,AZE,57600.00
AFG,BHS,1920.00
AFG,BHR,1920.00
AFG,BGD,15340800.00
AFG,BRB,3840.00
AFG,BLR,69120.00
AFG,BEL,81600.00
AFG,BLZ,1920.00
AFG,BEN,27600.00
AFG,BMU,960.00
AFG,BTN,31680.00
AFG,BOL,22702.95
AFG,BIH,46080.00
AFG,BWA,1104.00
AFG,BRA,34560.00
AFG,BRN,960.00
AFG,BGR,30720.00
AFG,BFA,62928.00
AFG,BDI,19872.00
AFG,KHM,12480.00
AFG,CMR,7728.00
AFG,CAN,55680.00
AFG,CPV,8832.00
AFG,CAF,2208.00
AFG,TCD,7728.00
AFG,CHL,21120.00
AFG,CHN,332160.00
AFG,COL,63360.00
AFG,COM,2208.00
AFG,COG,14352.00
AFG,COD,30912.00
AFG,COK,960.00
AFG,CRI,7915.38
AFG,CIV,8832.00
AFG,HRV,21120.00
AFG,CUB,43200.00
AFG,CYP,6720.00
AFG,CZE,67200.00
AFG,DNK,43200.00
AFG,DJI,1104.00
AFG,DMA,1920.00
AFG,DOM,62626.19
AFG,ECU,37737.79
AFG,EGY,99360.00
AFG,SLV,45926.79
AFG,GNQ,4416.00
AFG,ERI,26496.00
AFG,EST,6720.00
AFG,ETH,14352.00
AFG,FJI,5760.00
AFG,FIN,12480.00
AFG,FRA,336000.00
AFG,GAB,1104.00
AFG,GMB,2208.00
AFG,GEO,43200.00
AFG,DEU,160320.00
AFG,GHA,48576.00
AFG,GIB,960.00
AFG,GRC,33600.00
AFG,GRD,2880.00
AFG,GUM,4800.00
AFG,GTM,50456.72
AFG,GIN,27600.00
AFG,GNB,5520.00
AFG,GUY,11520.00
AFG,HTI,29760.00
AFG,HND,35090.05
AFG,HKG,29760.00
AFG,HUN,14400.00
AFG,ISL,960.00
AFG,IND,5669760.00
AFG,IDN,65280.00
AFG,IRN,38400.00
AFG,IRQ,37440.00
AFG,IRL,34560.00
AFG,ISR,34560.00
AFG,ITA,119040.00
AFG,JAM,36480.00
AFG,JPN,36480.00
AFG,JOR,24960.00
AFG,KAZ,147840.00
AFG,KEN,30912.00
AFG, Democratic People’s Republic of",PRK
AFG,KOR,58560.00
AFG,KWT,35520.00
AFG,KGZ,24960.00
AFG,LAO,14400.00
AFG,LVA,8640.00
AFG,LBN,21120.00
AFG,LSO,2208.00
AFG,LBR,4416.00
AFG,LBY,3312.00
AFG,LTU,11520.00
AFG,LUX,9600.00
AFG,MAC,3840.00
AFG,MKD,9600.00
AFG,MDG,6624.00
AFG,MWI,5520.00
AFG,MYS,85440.00
AFG,MDV,960.00
AFG,MLI,75072.00
AFG,MLT,3840.00
AFG,MHL,960.00
AFG,MRT,4416.00
AFG,MUS,6624.00
AFG,MEX,406080.00
AFG,FSM,960.00
AFG,MDA,25920.00
AFG,MCO,960.00
AFG,MSR,960.00
AFG,MAR,119232.00
AFG,MOZ,30912.00
AFG,MMR,251520.00
AFG,NAM,1104.00
AFG,NPL,2523840.00
AFG,NLD,28800.00
AFG,ANT,3840.00
AFG,NZL,31680.00
AFG,NIC,29543.25
AFG,NER,23184.00
AFG,NGA,171637.87
AFG,MNP,960.00
AFG,NOR,6720.00
AFG,PAK,3942720.00
AFG,PLW,960.00
AFG,PSE,35520.00
AFG,PAN,7680.00
AFG,PNG,2880.00
AFG,PRY,16320.00
AFG,PER,27840.00
AFG,PHL,134400.00
AFG,POL,73920.00
AFG,PRT,68160.00
AFG,PRI,62400.00
AFG,ROM,187200.00
AFG,RUS,470400.00
AFG,RWA,12144.00
AFG,KNA,960.00
AFG,LCA,1920.00
AFG,VCT,1920.00
AFG,WSM,6720.00
AFG,STP,1104.00
AFG,SAU,24960.00
AFG,SEN,22080.00
AFG,SCG,59520.00
AFG,SYC,1104.00
AFG,SLE,4416.00
AFG,SGP,29760.00
AFG,SVK,18240.00
AFG,SVN,3840.00
AFG,SOM,25392.00
AFG,ZAF,37536.00
AFG,ESP,244800.00
AFG,LKA,770880.00
AFG,SDN,29808.00
AFG,SUR,6000.00
AFG,SWE,11520.00
AFG,CHE,76800.00
AFG,SYR,15360.00
AFG,TWN,22080.00
AFG,TJK,34560.00
AFG,TZA,11040.00
AFG,THA,30720.00
AFG,TLS,960.00
AFG,TGO,8832.00
AFG,TON,2880.00
AFG,TTO,13440.00
AFG,TUN,24000.00
AFG,TUR,100800.00
AFG,TKM,10560.00
AFG,UGA,9936.00
AFG,UKR,228480.00
AFG,ARE,58560.00
AFG,GBR,175680.00
AFG,USA,92160.00
AFG,URY,9600.00
AFG,UZB,98880.00
AFG,VEN,13440.00
AFG,VNM,75840.00
AFG,VIR,2880.00
AFG,YEM,20160.00
AFG,ZMB,9936.00
AFG,ZWE,12144.00
ALB,AFG,6720.00
ALB,DZA,7728.00
ALB,AGO,2208.00
ALB,ARG,1792.00
ALB,ARM,29760.00
ALB,AUS,81600.00
ALB,AUT,297600.00
ALB,AZE,39360.00
ALB,BGD,9600.00
ALB,BLR,646080.00
ALB,BEL,76800.00
ALB,BEN,1104.00
ALB,BOL,662.17
ALB,BIH,1579200.00
ALB,BRA,1792.00
ALB,BGR,80640.00
ALB,BFA,2208.00
ALB,BDI,1104.00
ALB,KHM,960.00
ALB,CAN,16320.00
ALB,CHL,896.00
ALB,CHN,33600.00
ALB,COL,1792.00
ALB,COG,2208.00
ALB,COD,1104.00
ALB,HRV,53760.00
ALB,CUB,2688.00
ALB,CYP,960.00
ALB,CZE,1372800.00
ALB,DNK,38400.00
ALB,DOM,1579.76
ALB,ECU,1304.52
ALB,EGY,11040.00
ALB,SLV,1020.60
ALB,ERI,1104.00
ALB,EST,26880.00
ALB,ETH,1104.00
ALB,FIN,12480.00
ALB,FRA,705600.00
ALB,GEO,44160.00
ALB,DEU,450240.00
ALB,GHA,2208.00
ALB,GRC,52800.00
ALB,GTM,941.86
ALB,GIN,1104.00
ALB,GUY,336.00
ALB,HTI,448.00
ALB,HND,1091.69
ALB,HKG,960.00
ALB,HUN,95040.00
ALB,IND,20160.00
ALB,IDN,2880.00
ALB,IRN,4800.00
ALB,IRQ,7680.00
ALB,IRL,3840.00
ALB,ISR,9600.00
ALB,ITA,39360.00
ALB,JAM,896.00
ALB,JPN,3840.00
ALB,JOR,2880.00
ALB,KAZ,110400.00
ALB,KEN,1104.00
ALB, Democratic People’s Republic of",PRK
ALB,KOR,2880.00
ALB,KWT,1920.00
ALB,KGZ,21120.00
ALB,LAO,960.00
ALB,LVA,49920.00
ALB,LBN,11520.00
ALB,LBY,3312.00
ALB,LTU,330240.00
ALB,LUX,4800.00
ALB,MKD,52800.00
ALB,MYS,960.00
ALB,MLI,2208.00
ALB,MEX,8064.00
ALB,MDA,118080.00
ALB,MNG,4800.00
ALB,MAR,5520.00
ALB,MOZ,1104.00
ALB,MMR,960.00
ALB,NPL,960.00
ALB,NLD,9600.00
ALB,NZL,1920.00
ALB,NIC,626.67
ALB,NER,1104.00
ALB,NGA,14303.16
ALB,NOR,2880.00
ALB,PAK,8640.00
ALB,PSE,1920.00
ALB,PRY,448.00
ALB,PER,896.00
ALB,PHL,12480.00
ALB,POL,122880.00
ALB,PRT,5760.00
ALB,PRI,1344.00
ALB,ROM,2659200.00
ALB,RUS,2426880.00
ALB,SAU,960.00
ALB,SEN,1104.00
ALB,SCG,434880.00
ALB,SGP,960.00
ALB,SVK,1050240.00
ALB,SVN,74880.00
ALB,SOM,1104.00
ALB,ZAF,8832.00
ALB,ESP,43200.00
ALB,LKA,14400.00
ALB,SDN,2208.00
ALB,SUR,448.00
ALB,SWE,12480.00
ALB,CHE,43200.00
ALB,SYR,25920.00
ALB,TWN,960.00
ALB,TJK,24000.00
ALB,TZA,1104.00
ALB,THA,1920.00
ALB,TTO,448.00
ALB,TUN,1920.00
ALB,TUR,313920.00
ALB,TKM,16320.00
ALB,UGA,1104.00
ALB,UKR,1597440.00
ALB,ARE,960.00
ALB,GBR,78720.00
ALB,USA,75840.00
ALB,URY,448.00
ALB,UZB,146880.00
ALB,VEN,448.00
ALB,VNM,64320.00
ALB,YEM,1920.00
