HostCode,TargetCode,Amount
AFG,AFG,0
AFG,ALB,27840
AFG,DZA,96048
AFG,ASM,1920
AFG,AND,0
AFG,AGO,30912
AFG,AIA,0
AFG,ATG,1920
AFG,ARG,24000
AFG,ARM,32640
AFG,ABW,0
AFG,AUS,100800
AFG,AUT,81600
AFG,AZE,57600
AFG,BHS,1920
AFG,BHR,1920
AFG,BGD,15340800
AFG,BRB,3840
AFG,BLR,69120
AFG,BEL,81600
AFG,BLZ,1920
AFG,BEN,27600
AFG,BMU,960
AFG,BTN,31680
AFG,BOL,22702.95475
AFG,BIH,46080
AFG,BWA,1104
AFG,BRA,34560
AFG,BRN,960
AFG,BGR,30720
AFG,BFA,62928
AFG,BDI,19872
AFG,KHM,12480
AFG,CMR,7728
AFG,CAN,55680
AFG,CPV,8832
AFG,CYM,0
AFG,CAF,2208
AFG,TCD,7728
AFG,CHL,21120
AFG,CHN,332160
AFG,COL,63360
AFG,COM,2208
AFG,COG,14352
AFG,COD,30912
AFG,COK,960
AFG,CRI,7915.375848
AFG,CIV,8832
AFG,HRV,21120
AFG,CUB,43200
AFG,CYP,6720
AFG,CZE,67200
AFG,DNK,43200
AFG,DJI,1104
AFG,DMA,1920
AFG,DOM,62626.19214
AFG,ECU,37737.79173
AFG,EGY,99360
AFG,SLV,45926.79326
AFG,GNQ,4416
AFG,ERI,26496
AFG,EST,6720
AFG,ETH,14352
AFG,FLK,0
AFG,FRO,0
AFG,FJI,5760
AFG,FIN,12480
AFG,FRA,336000
AFG,GUF,0
AFG,PYF,0
AFG,GAB,1104
AFG,GMB,2208
AFG,GEO,43200
AFG,DEU,160320
AFG,GHA,48576
AFG,GIB,960
AFG,GRC,33600
AFG,GRL,0
AFG,GRD,2880
AFG,GLP,0
AFG,GUM,4800
AFG,GTM,50456.71773
AFG,GIN,27600
AFG,GNB,5520
AFG,GUY,11520
AFG,HTI,29760
AFG,HND,35090.04865
AFG,HKG,29760
AFG,HUN,14400
AFG,ISL,960
AFG,IND,5669760
AFG,IDN,65280
AFG,IRN,38400
AFG,IRQ,37440
AFG,IRL,34560
AFG,ISR,34560
AFG,ITA,119040
AFG,JAM,36480
AFG,JPN,36480
AFG,JOR,24960
AFG,KAZ,147840
AFG,KEN,30912
AFG,KIR,0
AFG,PRK,18240
AFG,KOR,58560
AFG,KWT,35520
AFG,KGZ,24960
AFG,LAO,14400
AFG,LVA,8640
AFG,LBN,21120
AFG,LSO,2208
AFG,LBR,4416
AFG,LBY,3312
AFG,LIE,0
AFG,LTU,11520
AFG,LUX,9600
AFG,MAC,3840
AFG,MKD,9600
AFG,MDG,6624
AFG,MWI,5520
AFG,MYS,85440
AFG,MDV,960
AFG,MLI,75072
AFG,MLT,3840
AFG,MHL,960
AFG,MTQ,0
AFG,MRT,4416
AFG,MUS,6624
AFG,MYT,0
AFG,MEX,406080
AFG,FSM,960
AFG,MDA,25920
AFG,MCO,960
AFG,MNG,0
AFG,MSR,960
AFG,MAR,119232
AFG,MOZ,30912
AFG,MMR,251520
AFG,NAM,1104
AFG,NRU,0
AFG,NPL,2523840
AFG,NLD,28800
AFG,ANT,3840
AFG,NCL,0
AFG,NZL,31680
AFG,NIC,29543.24587
AFG,NER,23184
AFG,NGA,171637.87
AFG,NIU,0
AFG,NFK,0
AFG,MNP,960
AFG,NOR,6720
AFG,OMN,0
AFG,PAK,3942720
AFG,PLW,960
AFG,PSE,35520
AFG,PAN,7680
AFG,PNG,2880
AFG,PRY,16320
AFG,PER,27840
AFG,PHL,134400
AFG,POL,73920
AFG,PRT,68160
AFG,PRI,62400
AFG,QAT,0
AFG,REU,0
AFG,ROM,187200
AFG,RUS,470400
AFG,RWA,12144
AFG,SHN,0
AFG,KNA,960
AFG,LCA,1920
AFG,SPM,0
AFG,VCT,1920
AFG,WSM,6720
AFG,SMR,0
AFG,STP,1104
AFG,SAU,24960
AFG,SEN,22080
AFG,SCG,59520
AFG,SYC,1104
AFG,SLE,4416
AFG,SGP,29760
AFG,SVK,18240
AFG,SVN,3840
AFG,SLB,0
AFG,SOM,25392
AFG,ZAF,37536
AFG,ESP,244800
AFG,LKA,770880
AFG,SDN,29808
AFG,SUR,6000
AFG,SWZ,0
AFG,SWE,11520
AFG,CHE,76800
AFG,SYR,15360
AFG,TWN,22080
AFG,TJK,34560
AFG,TZA,11040
AFG,THA,30720
AFG,TLS,960
AFG,TGO,8832
AFG,TKL,0
AFG,TON,2880
AFG,TTO,13440
AFG,TUN,24000
AFG,TUR,100800
AFG,TKM,10560
AFG,TCA,0
AFG,TUV,0
AFG,UGA,9936
AFG,UKR,228480
AFG,ARE,58560
AFG,GBR,175680
AFG,USA,92160
AFG,URY,9600
AFG,UZB,98880
AFG,VUT,0
AFG,VEN,13440
AFG,VNM,75840
AFG,VGB,0
AFG,VIR,2880
AFG,WLF,0
AFG,YEM,20160
AFG,ZMB,9936
AFG,ZWE,12144
ALB,AFG,6720
ALB,ALB,0
ALB,DZA,7728
ALB,ASM,0
ALB,AND,0
ALB,AGO,2208
ALB,AIA,0
ALB,ATG,0
ALB,ARG,1792
ALB,ARM,29760
ALB,ABW,0
ALB,AUS,81600
ALB,AUT,297600
ALB,AZE,39360
