Host,HostCode,Target,TargetCode,Amount,
Afghanistan,AFG,Afghanistan,AFG,0.00,
Afghanistan,AFG,Albania,ALB,27840.00,
Afghanistan,AFG,Algeria,DZA,96048.00,
Afghanistan,AFG,American Samoa,ASM,1920.00,
Afghanistan,AFG,Andorra,AND,0.00,
Afghanistan,AFG,Angola,AGO,30912.00,
Afghanistan,AFG,Anguilla,AIA,0.00,
Afghanistan,AFG,Antigua & Barbuda,ATG,1920.00,
Afghanistan,AFG,Argentina,ARG,24000.00,
Afghanistan,AFG,Armenia,ARM,32640.00,
Afghanistan,AFG,Aruba,ABW,0.00,
Afghanistan,AFG,Australia,AUS,100800.00,
Afghanistan,AFG,Austria,AUT,81600.00,
Afghanistan,AFG,Azerbaijan,AZE,57600.00,
Afghanistan,AFG,Bahamas,BHS,1920.00,
Afghanistan,AFG,Bahrain,BHR,1920.00,
Afghanistan,AFG,Bangladesh,BGD,15340800.00,
Afghanistan,AFG,Barbados,BRB,3840.00,
Afghanistan,AFG,Belarus,BLR,69120.00,
Afghanistan,AFG,Belgium,BEL,81600.00,
Afghanistan,AFG,Belize,BLZ,1920.00,
Afghanistan,AFG,Benin,BEN,27600.00,
Afghanistan,AFG,Bermuda,BMU,960.00,
Afghanistan,AFG,Bhutan,BTN,31680.00,
Afghanistan,AFG,Bolivia,BOL,22702.95,
Afghanistan,AFG,Bosnia and Herzegovina,BIH,46080.00,
Afghanistan,AFG,Botswana,BWA,1104.00,
Afghanistan,AFG,Brazil,BRA,34560.00,
Afghanistan,AFG,Brunei Darussalam,BRN,960.00,
Afghanistan,AFG,Bulgaria,BGR,30720.00,
Afghanistan,AFG,Burkina Faso,BFA,62928.00,
Afghanistan,AFG,Burundi,BDI,19872.00,
Afghanistan,AFG,Cambodia,KHM,12480.00,
Afghanistan,AFG,Cameroon,CMR,7728.00,
Afghanistan,AFG,Canada,CAN,55680.00,
Afghanistan,AFG,Cape Verde,CPV,8832.00,
Afghanistan,AFG,Cayman Islands,CYM,0.00,
Afghanistan,AFG,Central African Republic,CAF,2208.00,
Afghanistan,AFG,Chad,TCD,7728.00,
Afghanistan,AFG,Chile,CHL,21120.00,
Afghanistan,AFG,China,CHN,332160.00,
Afghanistan,AFG,Colombia,COL,63360.00,
Afghanistan,AFG,Comoros,COM,2208.00,
Afghanistan,AFG,Congo,COG,14352.00,
Afghanistan,AFG,"Congo, the Democratic Republic of the",COD,30912.00,
Afghanistan,AFG,Cook Islands,COK,960.00,
Afghanistan,AFG,Costa Rica,CRI,7915.38,
Afghanistan,AFG,Cote d'Ivoire,CIV,8832.00,
Afghanistan,AFG,Croatia,HRV,21120.00,
Afghanistan,AFG,Cuba,CUB,43200.00,
Afghanistan,AFG,Cyprus,CYP,6720.00,
Afghanistan,AFG,Czech Republic,CZE,67200.00,
Afghanistan,AFG,Denmark,DNK,43200.00,
Afghanistan,AFG,Djibouti,DJI,1104.00,
Afghanistan,AFG,Dominica,DMA,1920.00,
Afghanistan,AFG,Dominican Republic,DOM,62626.19,
Afghanistan,AFG,Ecuador,ECU,37737.79,
Afghanistan,AFG,Egypt,EGY,99360.00,
Afghanistan,AFG,El Salvador,SLV,45926.79,
Afghanistan,AFG,Equatorial Guinea,GNQ,4416.00,
Afghanistan,AFG,Eritrea,ERI,26496.00,
Afghanistan,AFG,Estonia,EST,6720.00,
Afghanistan,AFG,Ethiopia,ETH,14352.00,
