TargetCode,HostCode,Amount
MEX, USA ,31277554155
IND, USA ,11579904317
PER, USA ,7936100915
GBR, CAN ,5879857538
UGA, RUS ,5252017214
TUN, DEU ,4919595316
PRT, USA ,4854030662
VEN, USA ,4385966214
MYS, SGP ,4072812105
KOR, USA ,3972250427
KAZ, RUS ,3813574016
GBR, GBR ,3693055360
IND, CAN ,3615552678
ROM, UKR ,3536848282
SLV, USA ,3516723579
QAT, ITA ,3414757459
QAT, ESP ,3403976828
GBR, DEU ,3212089112
ROM, KAZ ,3206456378
BGD, IND ,3167297606
FIN, SWE ,2978409219
IND, ARE ,2950991201
KOR, JPN ,2881610943
CAN, USA ,2805414852
IND, GBR ,2486455226
GTM, USA ,2351606294
ARE, AUS ,2319047843
DZA, FRA ,2302760797
ITA, DEU ,2123517223
MSR, FRA ,2119283304
COL, USA ,2056223972
BRA, USA ,1994149389
MSR, ESP ,1961697248
IND, SAU ,1961451636
POL, FRA ,1921276286
NCL, AUS ,1870011079
ARE, USA ,1766754127
OMN, GBR ,1762413453
ECU, ESP ,1744254209
ALB, GRC ,1705652553
ARE, CAN ,1700360142
VGB, SYR ,1664600875
DEU, USA ,1648000517
PHL, DEU ,1546694255
BRA, JPN ,1538993268
ZAF, FRA ,1529542266
BLR, RUS ,1380555530
HND, USA ,1379454723
EGY, SAU ,1357928055
OMN, SAU ,1357928055
URY, RUS ,1354376401
IDN, MYS ,1341776263
PER, CAN ,1334169007
DOM, USA ,1322185182
ALB, ITA ,1317070179
PHL, GBR ,1314044376
JPN, USA ,1286685852
AZE, RUS ,1248253927
ECU, USA ,1237009057
PHL, USA ,1229593166
PSE, SAU ,1207047160
MSR, ITA ,1198974286
GRC, DEU ,1185282571
AUT, DEU ,1178184325
PRY, USA ,1153818582
ITA, FRA ,1134992446
OMN, USA ,1123711843
LBN, USA ,1108931306
PER, JPN ,1106617376
OMN, IND ,1104913687
COL, ESP ,1104588733
PRK, USA ,1095647757
JAM, USA ,1090397252
IRL, GBR ,1064874284
FRA, ESP ,1060997556
ARE, ESP ,1035907119
AFG, IRN ,1022519288
IND, BGD ,1010664275
ITA, USA ,1009220690
ARE, IRL ,1001612928
QAT, ISR ,983335918.8
ESP, CAN ,974922090.2
ARG, ESP ,973648923.5
