Dest,DestCode,Origin,OriginCode,Migrants
Afghanistan,AFG,Afghanistan,AFG,0.00
Afghanistan,AFG,Albania,ALB,29.00
Afghanistan,AFG,Algeria,DZA,100.05
Afghanistan,AFG,American Samoa,ASM,2.00
Afghanistan,AFG,Andorra,AND,0.00
Afghanistan,AFG,Angola,AGO,32.20
Afghanistan,AFG,Anguilla,AIA,0.00
Afghanistan,AFG,Antigua & Barbuda,ATG,2.00
Afghanistan,AFG,Argentina,ARG,25.00
Afghanistan,AFG,Armenia,ARM,34.00
Afghanistan,AFG,Aruba,ABW,0.00
Afghanistan,AFG,Australia,AUS,21.00
Afghanistan,AFG,Austria,AUT,17.00
Afghanistan,AFG,Azerbaijan,AZE,60.00
Afghanistan,AFG,Bahamas,BHS,2.00
Afghanistan,AFG,Bahrain,BHR,2.00
Afghanistan,AFG,Bangladesh,BGD,15980.00
Afghanistan,AFG,Barbados,BRB,4.00
Afghanistan,AFG,Belarus,BLR,72.00
Afghanistan,AFG,Belgium,BEL,17.00
Afghanistan,AFG,Belize,BLZ,2.00
Afghanistan,AFG,Benin,BEN,28.75
Afghanistan,AFG,Bermuda,BMU,1.00
Afghanistan,AFG,Bhutan,BTN,33.00
Afghanistan,AFG,Bolivia,BOL,23.65
Afghanistan,AFG,Bosnia and Herzegovina,BIH,48.00
Afghanistan,AFG,Botswana,BWA,1.15
Afghanistan,AFG,Brazil,BRA,36.00
Afghanistan,AFG,Brunei Darussalam,BRN,1.00
Afghanistan,AFG,Bulgaria,BGR,32.00
Afghanistan,AFG,Burkina Faso,BFA,65.55
Afghanistan,AFG,Burundi,BDI,20.70
Afghanistan,AFG,Cambodia,KHM,13.00
Afghanistan,AFG,Cameroon,CMR,8.05
Afghanistan,AFG,Canada,CAN,58.00
Afghanistan,AFG,Cape Verde,CPV,9.20
Afghanistan,AFG,Cayman Islands,CYM,0.00
Afghanistan,AFG,Central African Republic,CAF,2.30
Afghanistan,AFG,Chad,TCD,8.05
Afghanistan,AFG,Chile,CHL,22.00
Afghanistan,AFG,China,CHN,346.00
Afghanistan,AFG,Colombia,COL,66.00
Afghanistan,AFG,Comoros,COM,2.30
Afghanistan,AFG,Congo,COG,14.95
Afghanistan,AFG,"Congo, the Democratic Republic of the",COD,32.20
Afghanistan,AFG,Cook Islands,COK,1.00
Afghanistan,AFG,Costa Rica,CRI,8.25
Afghanistan,AFG,Cote d'Ivoire,CIV,9.20
Afghanistan,AFG,Croatia,HRV,22.00
Afghanistan,AFG,Cuba,CUB,45.00
Afghanistan,AFG,Cyprus,CYP,7.00
Afghanistan,AFG,Czech Republic,CZE,14.00
Afghanistan,AFG,Denmark,DNK,9.00
Afghanistan,AFG,Djibouti,DJI,1.15
Afghanistan,AFG,Dominica,DMA,2.00
Afghanistan,AFG,Dominican Republic,DOM,65.24
Afghanistan,AFG,Ecuador,ECU,39.31
Afghanistan,AFG,Egypt,EGY,103.50
Afghanistan,AFG,El Salvador,SLV,47.84
Afghanistan,AFG,Equatorial Guinea,GNQ,4.60
Afghanistan,AFG,Eritrea,ERI,27.60
Afghanistan,AFG,Estonia,EST,7.00
Afghanistan,AFG,Ethiopia,ETH,14.95
Afghanistan,AFG,Falkland Islands (Malvinas)*,FLK,0.00
Afghanistan,AFG,Faroe Islands,FRO,0.00
Afghanistan,AFG,Fiji,FJI,6.00
Afghanistan,AFG,Finland,FIN,13.00
Afghanistan,AFG,France,FRA,70.00
Afghanistan,AFG,French Guiana,GUF,0.00
Afghanistan,AFG,French Polynesia,PYF,0.00
Afghanistan,AFG,Gabon,GAB,1.15
Afghanistan,AFG,Gambia,GMB,2.30
Afghanistan,AFG,Georgia,GEO,45.00
Afghanistan,AFG,Germany,DEU,167.00
Afghanistan,AFG,Ghana,GHA,50.60
Afghanistan,AFG,Gibraltar,GIB,1.00
Afghanistan,AFG,Greece,GRC,35.00
Afghanistan,AFG,Greenland,GRL,0.00
Afghanistan,AFG,Grenada,GRD,3.00
Afghanistan,AFG,Guadeloupe,GLP,0.00
Afghanistan,AFG,Guam,GUM,5.00
Afghanistan,AFG,Guatemala,GTM,52.56
Afghanistan,AFG,Guinea,GIN,28.75
Afghanistan,AFG,Guinea-Bissau,GNB,5.75
