OriginCode,DestCode,Migrants,,,
ABW,USA,6248.66,,,
ABW,ANT,3776.71,,,
ABW,NLD,1031.94,,,
ABW,CAN,818.88,,,
ABW,DOM,491.97,,,
ABW,VEN,387.32,,,
ABW,COL,247.71,,,
ABW,PHL,83.68,,,
ABW,AUS,52.88,,,
ABW,GRC,36.92,,,
ABW,LCA,31.49,,,
ABW,PRT,18.33,,,
ABW,PAN,14.74,,,
ABW,NZL,12.40,,,
ABW,FSM,11.91,,,
ABW,NOR,11.64,,,
ABW,FRA,11.39,,,
ABW,IRL,11.23,,,
ABW,BOL,6.71,,,
ABW,CHL,5.14,,,
ABW,TUR,4.48,,,
ABW,ATG,3.55,,,
ABW,HUN,2.51,,,
ABW,MAC,1.21,,,
ABW,CZE,1.01,,,
AFG,IRN,1704198.81,,,
AFG,DEU,79443.60,,,
AFG,USA,61906.15,,,
AFG,GBR,61407.83,,,
AFG,TJK,56816.07,,,
AFG,CAN,42100.33,,,
AFG,NLD,30986.46,,,
AFG,AUS,21968.32,,,
AFG,SAU,17226.64,,,
AFG,DNK,12292.61,,,
AFG,TUR,10795.74,,,
AFG,SWE,8504.43,,,
AFG,IND,8413.71,,,
AFG,NOR,4516.01,,,
AFG,FRA,2958.39,,,
AFG,NZL,2346.27,,,
AFG,CHE,2222.08,,,
AFG,ITA,1382.20,,,
AFG,BEL,1058.72,,,
AFG,PHL,973.12,,,
AFG,JPN,710.10,,,
AFG,HUN,606.42,,,
AFG,FIN,580.22,,,
AFG,GRC,566.62,,,
AFG,ESP,482.87,,,
AFG,IRL,238.13,,,
AFG,CZE,211.13,,,
AFG,SVK,168.07,,,
AFG,POL,162.04,,,
AFG,ECU,75.95,,,
AFG,NIC,33.90,,,
AFG,CHL,25.70,,,
AFG,LUX,22.10,,,
AFG,FSM,13.40,,,
AFG,DOM,9.03,,,
AFG,VEN,8.94,,,
AFG,CYP,7.02,,,
AFG,PER,6.48,,,
AFG,BOL,3.35,,,
AFG,PRT,2.82,,,
AFG,MUS,1.97,,,
AFG,MAC,1.20,,,
AGO,PRT,245649.60,,,
AGO,ZMB,93496.44,,,
AGO,NAM,67540.45,,,
AGO,FRA,18906.08,,,
AGO,DEU,11742.37,,,
AGO,GBR,11448.92,,,
AGO,COG,10572.60,,,
AGO,NLD,6551.86,,,
AGO,BRA,6378.89,,,
AGO,USA,5636.78,,,
AGO,CHE,4772.97,,,
AGO,ESP,4646.04,,,
AGO,CAN,3544.74,,,
AGO,PHL,3140.93,,,
AGO,TZA,3063.28,,,
AGO,BEL,3041.49,,,
AGO,CPV,2393.44,,,
AGO,ITA,2120.76,,,
AGO,STP,1842.96,,,
AGO,IRL,1318.69,,,
AGO,SWE,619.32,,,
AGO,AUS,525.56,,,
AGO,MAC,423.38,,,
AGO,FIN,192.26,,,
AGO,NOR,189.08,,,
AGO,DNK,156.75,,,
AGO,CZE,136.37,,,
AGO,VEN,118.18,,,
AGO,CHL,101.08,,,
AGO,SVK,75.54,,,
AGO,CAF,62.00,,,
AGO,ECU,59.44,,,
AGO,FSM,49.12,,,
AGO,HUN,41.46,,,
AGO,POL,28.82,,,
AGO,DOM,27.08,,,
AGO,NZL,26.25,,,
AGO,PAN,19.16,,,
AGO,GRC,18.46,,,
AGO,NIC,10.79,,,
AGO,URY,8.66,,,
AGO,PER,7.20,,,
AGO,JPN,7.08,,,
AGO,BOL,6.71,,,
AGO,CYM,2.94,,,
AGO,TUR,2.24,,,
AGO,LBR,1.04,,,
ALB,GRC,676846.25,,,
ALB,ITA,522646.90,,,
ALB,MDG,91128.45,,,
ALB,USA,83017.50,,,
ALB,DEU,15964.32,,,
ALB,CAN,11984.60,,,
ALB,TUR,3711.74,,,
ALB,GBR,3065.03,,,
ALB,FRA,3036.99,,,
ALB,AUS,2627.79,,,
ALB,AUT,2396.87,,,
ALB,BEL,1884.10,,,
ALB,ESP,1847.14,,,
ALB,CHE,1687.88,,,
ALB,PHL,725.19,,,
ALB,NLD,710.74,,,
ALB,SWE,652.04,,,
ALB,IRL,467.27,,,
ALB,NOR,302.52,,,
ALB,DNK,272.09,,,
